iter	Passed	Remaining
0	144	144138
1	145	72438
2	145	48443
3	146	36427
4	146	29219
5	147	24418
6	147	20982
7	148	18409
8	149	16420
9	149	14825
10	150	13532
11	151	12441
12	151	11513
13	152	10716
14	152	10026
15	153	9422
16	153	8889
17	154	8414
18	154	7991
19	155	7610
20	155	7265
21	156	6960
22	157	6678
23	158	6432
24	158	6192
25	159	5967
26	159	5759
27	160	5566
28	160	5386
29	161	5218
30	161	5061
31	162	4914
32	162	4776
33	163	4645
34	164	4527
35	165	4419
36	166	4342
37	167	4239
38	168	4140
39	168	4046
40	169	3957
41	169	3872
42	170	3790
43	170	3711
44	171	3637
45	172	3569
46	172	3505
47	173	3442
48	174	3380
49	174	3321
50	175	3265
51	176	3210
52	176	3155
53	177	3103
54	177	3053
55	178	3004
56	178	2958
57	179	2915
58	180	2874
59	180	2834
60	181	2793
61	181	2753
62	182	2714
63	183	2676
64	183	2640
65	184	2605
66	184	2571
67	185	2538
68	185	2506
69	186	2475
70	187	2447
71	187	2420
72	188	2392
73	188	2364
74	189	2336
75	189	2309
76	190	2283
77	191	2257
78	191	2233
79	192	2208
80	192	2184
81	193	2161
82	193	2136
83	194	2115
84	194	2098
85	195	2082
86	196	2061
87	196	2041
88	197	2022
89	198	2002
90	198	1983
91	199	1966
92	199	1948
93	200	1932
94	201	1916
95	202	1903
96	202	1888
97	203	1872
98	204	1856
99	204	1841
100	205	1825
101	205	1810
102	206	1795
103	206	1781
104	207	1767
105	208	1754
106	208	1741
107	209	1729
108	210	1716
109	210	1703
110	211	1691
111	211	1678
112	212	1665
113	212	1653
114	213	1640
115	213	1628
116	214	1616
117	214	1604
118	215	1594
119	215	1583
120	216	1574
121	217	1563
122	217	1553
123	218	1542
124	218	1532
125	219	1522
126	219	1511
127	220	1501
128	220	1492
129	221	1482
130	222	1472
131	222	1463
132	223	1455
133	223	1446
134	224	1439
135	225	1431
136	225	1423
137	226	1414
138	227	1406
139	227	1398
140	228	1390
141	228	1381
142	229	1373
143	229	1365
144	230	1359
145	231	1352
146	231	1346
147	232	1338
148	233	1331
149	233	1324
150	234	1317
151	234	1310
152	235	1303
153	235	1296
154	236	1289
155	237	1282
156	237	1276
157	238	1270
158	239	1264
159	239	1259
160	240	1251
161	240	1245
162	241	1238
163	241	1232
164	242	1226
165	242	1219
166	243	1213
167	243	1207
168	244	1201
169	244	1195
170	245	1190
171	246	1185
172	247	1181
173	247	1176
174	248	1170
175	248	1164
176	249	1159
177	249	1153
178	250	1148
179	250	1143
180	251	1137
181	252	1132
182	252	1127
183	253	1123
184	255	1125
185	255	1120
186	256	1115
187	257	1110
188	257	1105
189	258	1100
190	258	1096
191	259	1091
192	259	1086
193	260	1082
194	261	1078
195	261	1074
196	262	1070
197	263	1066
198	263	1061
199	264	1057
200	264	1052
201	265	1048
202	265	1043
203	266	1039
204	266	1035
205	267	1031
206	268	1027
207	268	1023
208	269	1020
209	270	1016
210	270	1012
211	271	1008
212	271	1004
213	272	1000
214	272	996
215	273	992
216	273	988
217	274	984
218	274	980
219	275	977
220	276	973
221	276	970
222	277	966
223	278	963
224	278	959
225	279	955
226	279	952
227	280	948
228	280	944
229	281	941
230	281	937
231	282	934
232	282	930
233	283	928
234	285	930
235	286	927
236	287	924
237	287	921
238	288	917
239	288	914
240	289	911
241	289	908
242	290	906
243	300	931
244	301	927
245	301	924
246	302	921
247	302	917
248	303	914
249	303	911
250	304	908
251	304	904
252	305	901
253	305	898
254	306	895
255	307	892
256	308	890
257	308	887
258	309	884
259	309	881
260	310	878
261	310	875
262	311	872
263	311	869
264	312	866
265	312	863
266	313	860
267	314	858
268	316	859
269	317	858
270	318	855
271	318	852
272	319	850
273	319	847
274	320	844
275	321	843
276	322	840
277	322	838
278	323	835
279	324	833
280	324	830
281	325	828
282	325	825
283	326	822
284	326	820
285	327	818
286	328	816
287	329	814
288	330	812
289	330	809
290	331	807
291	331	804
292	332	801
293	332	799
294	333	796
295	333	794
296	334	791
297	335	789
298	335	786
299	336	785
300	337	783
301	338	781
302	338	779
303	339	776
304	339	774
305	340	771
306	341	769
307	341	767
308	342	764
309	342	762
310	343	760
311	344	758
312	345	757
313	345	755
314	346	752
315	346	751
316	347	748
317	348	746
318	348	744
319	349	742
320	349	740
321	350	738
322	351	736
323	352	734
324	352	732
325	353	731
326	354	728
327	354	727
328	355	724
329	355	722
330	356	720
331	357	718
332	357	716
333	358	714
334	358	712
335	359	710
336	360	708
337	360	706
338	361	704
339	361	702
340	362	700
341	362	698
342	363	696
343	363	694
344	364	691
345	365	689
346	365	688
347	366	686
348	366	684
349	367	682
350	368	680
351	368	678
352	369	676
353	369	675
354	370	673
355	370	671
356	371	669
357	371	667
358	372	665
359	373	664
360	375	664
361	376	662
362	376	660
363	377	658
364	377	657
365	378	655
366	378	653
367	379	651
368	379	649
369	380	647
370	381	646
371	382	645
372	382	643
373	383	641
374	384	640
375	384	638
376	385	636
377	385	634
378	386	632
379	386	631
380	387	629
381	387	627
382	388	625
383	389	624
384	389	622
385	390	621
